Laptop Model,Processor Type,Generation,RAM,Storage,Graphics,Display Size(Inch),Price
Acer Aspire 3 A315-24P AMD Ryzen 3 7320U 8GB ...,Ryzen 3,Not Applicable,8GB,512GB SSD,Shared,15.6,53000
Chuwi MiniBook X 2 in 1 Intel Core N100 12GB ...,Core N100,12th Standard (Intel),12GB,512GB SSD,Shared,10.5,47900
Chuwi HeroBook Pro Intel CDC N4020 8GB RAM 25 ...,Intel Celeron,Not Applicable,8GB,256GB SSD,Shared,14.0,28800
Chuwi GemiBook XPro Intel Core N100 8GB RAM 2 ...,Core N100,12th Standard (Intel),8GB,256GB SSD,Shared,14.0,34900
Chuwi GemiBook Plus Intel Core N100 8GB RAM 2 ...,Core N100,12th Standard (Intel),8GB,256GB SSD,Shared,15.6,35900
Lenovo IdeaPad 1 15AMN7 AMD Ryzen 3 7320U 8GB ...,Ryzen 3,Not Applicable,8GB,512GB SSD,Shared,15.6,53400
Lenovo IdeaPad 1 15AMN7 AMD Ryzen 3 7320U 8GB ...,Ryzen 3,Not Applicable,8GB,512GB SSD,Shared,15.6,53400
Lenovo IdeaPad Slim 3i 15IGL Intel CDC N4020 ...,Intel Celeron,Not Applicable,4GB,1TB HDD,Shared,15.6,35000
HP 15s-eq1578AU AMD Athlon Silver 3050U 8GB ...,AMD Athlon,Not Applicable,8GB,256GB SSD,Shared,15.6,46500
Lenovo IdeaPad Slim 3i 15ITL6 Core i3 1115G4 ...,Core i3,11th (Intel),4GB,1TB HDD,Shared,15.6,52800
Asus BR1100FKA Intel CDC N4500 4GB RAM 256GB ...,Intel Celeron,Not Applicable,4GB,256GB SSD,Shared,11.6,44800
Lenovo IdeaPad Slim 3i 15ITL 11th Gen Intel C ...,Core i3,11th (Intel),4GB,256GB SSD,Shared,15.6,51400
HP 250 G8 Intel CDC N4020 4GB RAM 1TB HDD 15. ...,Intel Celeron,Not Applicable,4GB,1TB HDD,Shared,15.6,38500
Asus X515KA Intel CDC N4500 4GB RAM 1TB HDD 1 ...,Intel Celeron,Not Applicable,4GB,1TB HDD,Shared,15.6,40500
Asus X515KA Intel CDC N4500 4GB RAM 1TB HDD 1 ...,Intel Celeron,Not Applicable,4GB,1TB HDD,Shared,15.6,40500
Asus M515DA AMD Ryzen 3 3250U 4GB RAM 1TB HDD ...,Ryzen 3,Not Applicable,4GB,1TB HDD,Shared,15.6,46500
Asus X415KA Intel CDC N4500 4GB RAM 1TB HDD 1 ...,Intel Celeron,Not Applicable,4GB,1TB HDD,Shared,14.0,39500
Asus 15 P1511CMA Intel CDC N4020 4GB RAM 1TB ...,Intel Celeron,Not Applicable,4GB,1TB HDD,Shared,15.6,37500
Lenovo IdeaPad 1 15ADA7 AMD Ryzen 3 3250U 8GB ...,Ryzen 3,Not Applicable,8GB,512GB SSD,Shared,15.6,49900
Asus VivoBook 14 E410MA Intel CDC N4020 4GB R ...,Intel Celeron,Not Applicable,4GB,256GB SSD,Shared,14.0,38000
Acer Extensa 15 EX215-54-34SE Intel Core i3 1 ...,Core i3,11th (Intel),4GB,1TB HDD,Shared,15.6,46500
Asus E510MA Intel CDC N4020 4GB RAM 512GB SSD ...,Intel Celeron,Not Applicable,4GB,512GB SSD,Shared,15.6,41500
Lenovo IdeaPad D330 10IGL Intel CDC N4020 4GB ...,Intel Celeron,Not Applicable,4GB,128GB eMMC,Shared,10.1,34500
Lenovo IdeaPad Slim 3i 15IGL Intel CDC N4020 ...,Intel Celeron,Not Applicable,4GB,1TB HDD,Shared,15.6,36000
Asus X515MA Intel CDC N4020 4GB RAM 1TB HDD 1 ...,Intel Celeron,Not Applicable,4GB,1TB HDD,Shared,15.6,40500
Asus X515MA Intel CDC N4020 4GB RAM 1TB HDD 1 ...,Intel Celeron,Not Applicable,4GB,1TB HDD,Shared,15.6,43500
