Laptop Model,Processor Type,Generation,RAM,Storage,Graphics,Display Size(Inch),Price
Asus ROG Zephyrus G16 GU605MI Intel Core Ultr ...,Core Ultra 7,Unmentioned,32GB,1TB SSD,8GB,16,"Tk 357,000"
Asus ROG Strix SCAR 18 G834JYR Intel Core i9 ...,Core i9,14th (Intel),64GB,1TB SSD,16GB,18,"Tk 565,000"
Asus ROG Zephyrus G14 GA403UV AMD Ryzen 9 894 ...,Ryzen 9,Not Applicable,32GB,1TB SSD,8GB,14,"Tk 282,000"
Asus ROG Zephyrus G14 GA403UI AMD Ryzen 9 894 ...,Ryzen 9,Not Applicable,32GB,512GB SSD,8GB,14,"Tk 316,000"
HP Victus Gaming 15-fa1252TX Intel Core i7 13 ...,Core i7,13th (Intel),16GB,1TB SSD,6GB,15.6,"Tk 169,000"
HP Victus Gaming 15-fa1251TX Intel Core i7 13 ...,Core i7,13th (Intel),8GB,512GB SSD,6GB,15.6,"Tk 149,000"
Microsoft Surface Pro 9 (Wi-Fi) Intel Core i7 ...,Core i7,12th (Intel),16GB,256GB SSD,Shared,13,"Tk 179,000"
Lenovo Yoga 7i 14IRL8 Intel Core i7 1360P 16G ...,Core i7,13th (Intel),16GB,512GB SSD,Shared,14,"Tk 170,000"
Lenovo Yoga 7i 14IRL8 Intel Core i5 1340P 16G ...,Core i5,13th (Intel),16GB,1TB SSD,Shared,14,"Tk 150,000"
Lenovo Yoga 7i 14IRL8 Intel Core i5 1340P 16G ...,Core i5,13th (Intel),16GB,1TB SSD,Shared,14,"Tk 150,000"
Lenovo Legion Pro 7i 16IRX8H Intel Core i9 13 ...,Core i9,13th (Intel),32GB,1TB SSD,16GB,16,"Tk 450,000"
Lenovo Legion Pro 7i 16IRX8H Intel Core i9 13 ...,Core i9,13th (Intel),32GB,1TB SSD,12GB,16,"Tk 390,000"
Lenovo Legion Slim 5i 16IRH8 Intel Core i5 13 ...,Core i5,13th (Intel),16GB,512GB SSD,6GB,16,"Tk 183,000"
Lenovo LOQ Gaming 15IRH8 Intel Core i5 12450H ...,Core i5,12th (Intel),16GB,512GB SSD,6GB,15.6,"Tk 135,000"
Lenovo IdeaPad FLEX 5i 14IRU8 Intel Core i7 1 ...,Core i7,13th (Intel),16GB,1TB SSD,Shared,14,"Tk 165,000"
Lenovo LOQ Gaming 15IRH8 Intel Core i5 12450H ...,Core i5,12th (Intel),16GB,512GB SSD,4GB,15.6,"Tk 120,000"
Lenovo IdeaPad FLEX 5i 14IRU8 Intel Core i5 1 ...,Core i5,13th (Intel),16GB,1TB SSD,Shared,14,"Tk 135,000"
Lenovo IdeaPad FLEX 5i 14IRU8 Intel Core i5 1 ...,Core i5,13th (Intel),16GB,512GB SSD,Shared,14,"Tk 130,000"
Lenovo Yoga Book 9i 13IRU8 Intel Core i7 1355 ...,Core i7,13th (Intel),16GB,1TB SSD,Shared,13.3,"Tk 350,000"
Lenovo Yoga Book 9i 13IRU8 Intel Core i7 1355 ...,Core i7,13th (Intel),16GB,1TB SSD,Shared,13.3,"Tk 375,000"
Lenovo IdeaPad FLEX 5i 14IRU8 Intel Core i5 1 ...,Core i5,13th (Intel),16GB,512GB SSD,Shared,14,"Tk 130,000"
Lenovo IdeaPad Pro 5i 16IRH8 Intel Core i5 13 ...,Core i5,13th (Intel),16GB,512GB SSD,6GB,16,"Tk 160,000"
Lenovo IdeaPad Slim 5i 16IRL8 Intel Core i7 1 ...,Core i7,13th (Intel),16GB,512GB SSD,Shared,16,"Tk 135,000"
Lenovo IdeaPad Slim 3i 15IRH8 Intel Core i5 1 ...,Core i5,13th (Intel),16GB,512GB SSD,Shared,15.6,"Tk 89,000"
